wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
0 2 6 -7.86006 -8.15759 0.25891 -8.00757 -0.15002
0 4 13 4.32358 4.96552 4.32358 3.37784 1.58768
-2 2 4 -2.59296 -4.73637 -12.50610 -0.54602 -4.19035
-1 3 9 4.32473 3.67394 -4.43268 5.12591 -1.45198
-2 1 2 -6.08330 -5.72782 -10.90210 -6.51910 0.79128
-1 4 4 5.11246 4.58130 5.11246 5.81894 -1.23764
0 4 3 1.12041 1.46925 1.12041 0.75281 0.71645
2 3 7 -3.80552 -3.64489 -6.02478 -4.07837 0.43348
-1 2 2 -2.64095 -1.04948 -8.83759 -4.44838 3.39889
-1 3 11 6.87780 7.12919 -5.06836 6.67153 0.45766
-2 2 1 -3.60817 -3.06715 -7.21130 -4.10320 1.03605
2 4 9 -2.15419 -2.61757 -2.15419 -1.55192 -1.06565
-2 4 2 -1.24317 -1.18900 -1.24317 -1.59869 0.40969
2 3 9 -2.85153 -2.12264 -7.17896 -3.91310 1.79046
-1 1 11 7.59380 7.73482 -5.58197 7.46930 0.26553
0 4 1 2.07108 1.31584 2.07108 3.49876 -2.18292
-1 3 6 10.55868 11.17137 -6.68610 9.61890 1.55247
1 2 7 -3.17129 -4.39606 -0.73120 -2.15685 -2.23921
-1 1 6 4.94616 6.23527 -7.19360 3.64558 2.58969
0 2 4 0.12043 -0.11997 -1.08038 0.10418 -0.22415
2 4 11 -8.06466 -6.45699 -8.06466 -10.39462 3.93763
-2 4 12 1.24702 1.52427 1.24702 0.29634 1.22793
2 3 11 -6.23482 -5.41508 -6.29944 -7.43037 2.01529
2 3 12 -4.11331 -3.92131 -6.89697 -4.37306 0.45175
0 4 7 -4.73930 -4.25728 -4.73930 -5.16998 0.91270
0 2 8 0.01875 0.31037 -14.06588 -0.24858 0.55895
-1 4 11 8.44360 10.89538 8.44360 5.05246 5.84292
-1 1 4 -0.49797 0.10277 -8.45795 -1.08284 1.18561
2 4 13 -0.54581 -1.15463 -0.54581 0.27588 -1.43051
-2 4 14 1.08093 1.90018 1.08093 -0.11826 2.01843
-1 4 7 7.44080 7.15111 7.44080 8.03162 -0.88051
0 3 10 -5.65001 -4.76351 -0.18411 -7.00712 2.24361
0 3 5 7.80883 8.56235 -4.23825 6.64929 1.91306
0 4 5 7.77016 8.07109 7.77016 7.42430 0.64679
1 3 2 2.42454 2.78550 -2.11914 1.88557 0.89993
-2 2 6 6.01996 5.28246 -12.89978 6.49464 -1.21218
-2 1 10 0.97069 1.91479 -9.84192 0.03513 1.87965
0 3 9 1.58337 1.62961 -0.88436 1.91994 -0.29034
-2 4 8 1.77991 2.09709 1.77991 1.40316 0.69393
0 1 3 7.35363 7.11781 0.58975 7.55365 -0.43585
0 3 8 0.11746 0.35385 -0.59267 -0.31388 0.66773
-1 1 8 0.23120 -0.15797 -5.72662 0.62932 -0.78729
-2 3 7 4.91922 4.61845 -10.48950 5.41656 -0.79811
-2 1 8 -2.47734 -2.45489 -21.74133 -2.46049 0.00560
2 4 1 -1.91734 -1.78139 -1.91734 -2.00417 0.22278
-2 4 10 2.92221 3.32199 2.92221 2.39899 0.92300
0 1 5 6.34343 7.28220 -2.18891 5.09649 2.18571
2 1 10 -5.84084 -5.16811 -8.92273 -6.47945 1.31134
1 1 2 3.54494 3.06606 -4.28925 3.95639 -0.89033
1 1 9 -0.24415 0.24522 -2.43805 -0.71797 0.96319
-1 4 10 5.49942 6.40442 5.49942 4.03732 2.36710
2 4 3 2.07497 1.91801 2.07497 2.29107 -0.37306
2 2 10 -4.29914 -6.51134 -9.22668 -2.04660 -4.46474
-1 4 6 6.81456 7.34551 6.81456 6.21944 1.12607
0 3 12 6.76778 7.01863 1.84106 6.38084 0.63779
1 2 1 -2.16812 -3.16427 -7.56226 -1.71671 -1.44756
1 3 12 -7.05354 -6.63873 -3.90991 -7.73090 1.09217
1 1 11 -7.56456 -7.35348 -4.58984 -7.79400 0.44052
-1 2 5 3.81298 3.67028 -5.04913 3.68471 -0.01443
-2 1 12 2.23692 2.01212 -10.03906 2.51022 -0.49810
2 4 5 -3.68815 -4.30386 -3.68815 -2.81001 -1.49386
2 2 8 0.25336 -1.61075 -6.30554 2.23222 -3.84297
0 3 2 3.99678 4.16454 2.34103 3.80320 0.36134
-1 1 9 -0.04054 -0.80028 -4.19189 0.63702 -1.43730
-2 3 8 1.70483 2.50154 -10.20569 0.42332 2.07823
