wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
1 2 6 -0.15646 -0.19468 -0.02614 -0.19178 -0.03821 0.13032 -0.03532 -0.00290
2 1 9 0.23746 0.23967 -0.10661 0.26373 0.00222 -0.34407 0.02627 -0.02405
-1 2 11 0.12612 0.03170 0.76729 0.12991 -0.09442 0.64117 0.00379 -0.09822
1 3 11 0.02922 0.04664 -0.15068 0.01458 0.01743 -0.17989 -0.01464 0.03206
1 1 10 0.38578 0.38877 0.37462 0.48533 0.00299 -0.01116 0.09955 -0.09656
2 4 4 -0.11434 -0.14539 -0.11434 -0.03751 -0.03105 0.00000 0.07683 -0.10788
-2 1 7 -0.71347 -0.72841 -3.05414 -0.65206 -0.01494 -2.34067 0.06141 -0.07635
-1 3 2 1.50266 1.48615 1.67365 1.51480 -0.01651 0.17099 0.01214 -0.02865
2 1 3 0.10140 0.08583 -0.37626 0.20301 -0.01556 -0.47765 0.10162 -0.11718
2 4 6 -0.68210 -0.68870 -0.68210 -0.94327 -0.00660 0.00000 -0.26117 0.25457
1 3 9 -1.13000 -1.13370 -1.79670 -1.10720 -0.00370 -0.66670 0.02279 -0.02649
1 1 12 0.80741 0.82280 0.83964 0.92777 0.01539 0.03223 0.12036 -0.10497
1 3 4 0.10529 0.08596 -0.50251 0.14636 -0.01932 -0.60780 0.04108 -0.06040
0 3 1 0.76265 0.77196 0.81648 0.78491 0.00931 0.05383 0.02226 -0.01295
0 4 10 0.15103 0.15024 0.15103 0.06953 -0.00079 0.00000 -0.08149 0.08070
1 4 13 0.18188 0.19081 0.18188 0.07249 0.00893 0.00000 -0.10939 0.11832
-1 4 8 -0.38405 -0.39294 -0.38405 -0.41859 -0.00889 0.00000 -0.03454 0.02565
2 2 3 0.64574 0.62975 -1.25306 0.65811 -0.01599 -1.89879 0.01237 -0.02836
2 1 5 -0.30014 -0.28619 3.28907 -0.30816 0.01395 3.58921 -0.00803 0.02198
1 2 9 0.15739 0.08600 -0.01924 0.18088 -0.07139 -0.17663 0.02349 -0.09488
0 3 7 -0.41002 -0.42501 -0.76976 -0.33575 -0.01499 -0.35974 0.07426 -0.08925
-2 2 10 1.16144 1.15406 4.57606 1.20429 -0.00738 3.41461 0.04284 -0.05022
2 3 5 -0.40807 -0.42626 -0.20742 -0.33395 -0.01818 0.20065 0.07412 -0.09231
1 2 3 0.34964 0.44196 0.33964 0.09145 0.09232 -0.01000 -0.25819 0.35051
1 4 11 0.33693 0.34353 0.33693 0.37869 0.00660 0.00000 0.04176 -0.03516
2 2 1 0.40205 0.39577 -0.96079 0.28164 -0.00629 -1.36284 -0.12041 0.11413
-2 1 4 0.54922 0.54778 -0.68840 0.56798 -0.00145 -1.23763 0.01876 -0.02021
-2 3 3 0.61669 0.60415 0.43412 0.55686 -0.01253 -0.18257 -0.05983 0.04729
0 4 6 -0.77984 -0.79207 -0.77984 -0.82802 -0.01224 0.00000 -0.04819 0.03595
1 4 9 0.27420 0.27956 0.27420 0.32076 0.00536 0.00000 0.04656 -0.04120
1 2 11 0.36996 0.43487 0.41128 0.20847 0.06491 0.04132 -0.16149 0.22640
2 2 7 0.42412 0.40929 1.01679 0.24364 -0.01483 0.59267 -0.18048 0.16566
0 2 10 -0.22632 -0.12520 -0.60453 -0.33346 0.10112 -0.37821 -0.10714 0.20826
1 2 4 -0.48443 -0.37443 1.11472 -0.23163 0.11000 1.59915 0.25280 -0.14280
-1 4 14 0.80699 0.88911 0.80699 0.62165 0.08213 0.00000 -0.18534 0.26746
1 1 4 0.19873 0.21882 -0.20061 0.32186 0.02009 -0.39934 0.12313 -0.10304
1 4 7 -0.69908 -0.70352 -0.69908 -0.64040 -0.00444 0.00000 0.05868 -0.06312
2 2 5 0.08956 0.15155 0.68359 0.01596 0.06200 0.59403 -0.07360 0.13559
0 2 12 0.39715 0.40281 0.74693 0.29528 0.00566 0.34979 -0.10187 0.10753
0 1 1 0.68823 0.71969 0.86465 0.76906 0.03146 0.17642 0.08083 -0.04937
-2 2 9 -0.43995 -0.53196 -0.12651 -0.36876 -0.09201 0.31345 0.07119 -0.16320
1 1 6 -0.34196 -0.31542 0.03781 -0.23909 0.02654 0.37977 0.10286 -0.07633
1 4 5 -0.46508 -0.41445 -0.46508 -0.53300 0.05062 0.00000 -0.06792 0.11854
-1 1 5 -0.39527 -0.40374 -0.39818 -0.29605 -0.00847 -0.00290 0.09923 -0.10770
-2 3 4 0.71858 0.74319 1.14327 0.75698 0.02461 0.42469 0.03839 -0.01378
-1 2 12 0.09422 0.08816 0.32345 0.06538 -0.00606 0.22923 -0.02884 0.02278
-2 3 1 0.26118 0.24730 1.23639 0.15036 -0.01388 0.97521 -0.11082 0.09695
1 4 3 -1.22786 -1.20123 -1.22786 -1.16850 0.02663 0.00000 0.05936 -0.03273
2 4 12 -0.32194 -0.30156 -0.32194 -0.27676 0.02038 0.00000 0.04518 -0.02480
0 4 11 -0.34429 -0.33280 -0.34429 -0.31968 0.01149 0.00000 0.02460 -0.01311
-1 2 10 0.60657 0.50811 0.47613 0.67676 -0.09847 -0.13045 0.07019 -0.16866
-1 3 3 0.42118 0.41785 0.10093 0.36946 -0.00334 -0.32025 -0.05172 0.04839
-2 2 8 0.23395 0.17055 0.03938 0.15221 -0.06340 -0.19457 -0.08174 0.01834
1 4 1 0.02361 0.01124 0.02361 0.05378 -0.01237 0.00000 0.03017 -0.04254
-1 4 5 -0.23518 -0.22034 -0.23518 -0.22793 0.01484 0.00000 0.00725 0.00759
0 2 2 0.70253 0.76183 0.51615 0.41524 0.05930 -0.18638 -0.28729 0.34659
0 4 9 -0.33167 -0.34289 -0.33167 -0.29287 -0.01122 0.00000 0.03880 -0.05002
2 3 6 -1.01400 -0.98310 -1.92246 -1.00402 0.03090 -0.90846 0.00998 0.02092
-1 2 8 -0.33930 -0.31801 0.26158 -0.30863 0.02128 0.60088 0.03067 -0.00939
-2 3 5 0.26403 0.27779 1.78773 0.19775 0.01376 1.52370 -0.06628 0.08004
-2 4 4 0.43184 0.45212 0.43184 0.50301 0.02028 0.00000 0.07117 -0.05089
-1 1 10 -0.20492 -0.18915 -0.48301 -0.10132 0.01577 -0.27808 0.10361 -0.08783
-1 3 5 0.11707 0.15124 0.25574 0.12539 0.03417 0.13867 0.00832 0.02585
-1 2 6 0.19145 0.22639 -0.48757 0.17458 0.03493 -0.67902 -0.01687 0.05180
-1 3 7 -0.17196 -0.15919 -0.93265 -0.18304 0.01276 -0.76069 -0.01109 0.02385
0 4 4 -0.57933 -0.52873 -0.57933 -0.61025 0.05060 0.00000 -0.03092 0.08152
-2 4 6 -0.00021 -0.00989 -0.00021 0.06497 -0.00968 0.00000 0.06519 -0.07487
