wheel station sector hw_phiz hw_phiz1 hw_phiz2 hw_phiz3 hw_dphiz1 hw_dphiz2 hw_dphiz3 hw_db
2 1 5 -0.30014 -0.30014 -0.28137 -0.29399 0.00000 -0.27830 0.00614 -0.00614
1 2 9 0.15739 0.15739 0.15019 0.10882 0.00000 0.12590 -0.04857 0.04857
0 3 7 -0.41002 -0.41002 -0.59025 -0.35632 0.00000 -0.56339 0.05370 -0.05370
-2 2 10 1.16144 1.16144 0.91010 1.19684 0.00000 0.92780 0.03540 -0.03540
2 3 5 -0.40807 -0.40807 -0.40573 -0.35889 0.00000 -0.38114 0.04918 -0.04918
1 2 3 0.34964 0.34964 0.66448 0.18464 0.00000 0.58198 -0.16500 0.16500
1 4 11 0.33693 0.33693 0.33693 0.38780 0.00000 0.00000 0.05086 -0.05086
2 2 1 0.40205 0.40205 -0.06183 0.27529 0.00000 -0.12521 -0.12676 0.12676
-2 1 4 0.54922 0.54922 0.54218 0.56652 0.00000 0.55083 0.01729 -0.01729
-2 3 3 0.61669 0.61669 0.35536 0.53967 0.00000 0.31685 -0.07702 0.07702
0 4 6 -0.77984 -0.77984 -0.77984 -0.84492 0.00000 0.00000 -0.06508 0.06508
1 4 9 0.27420 0.27420 0.27420 0.32816 0.00000 0.00000 0.05396 -0.05396
1 2 11 0.36996 0.36996 0.43112 0.27399 0.00000 0.38314 -0.09597 0.09597
2 2 7 0.42412 0.42412 0.17850 0.22867 0.00000 0.08078 -0.19545 0.19545
0 2 10 -0.22632 -0.22632 -0.37974 -0.23140 0.00000 -0.38228 -0.00508 0.00508
1 2 4 -0.48443 -0.48443 0.43230 -0.12060 0.00000 0.61422 0.36383 -0.36383
-1 4 14 0.80699 0.80699 0.80699 0.73506 0.00000 0.00000 -0.07193 0.07193
1 1 4 0.19873 0.19873 0.35095 0.34228 0.00000 0.42273 0.14355 -0.14355
1 4 7 -0.69908 -0.69908 -0.69908 -0.64654 0.00000 0.00000 0.05254 -0.05254
2 2 5 0.08956 0.08956 0.15866 0.07854 0.00000 0.15315 -0.01102 0.01102
0 2 12 0.39715 0.39715 0.77294 0.30099 0.00000 0.72486 -0.09616 0.09616
0 1 1 0.68823 0.68823 0.68432 0.80103 0.00000 0.74072 0.11280 -0.11280
-2 2 9 -0.43995 -0.43995 0.22026 -0.46163 0.00000 0.20942 -0.02168 0.02168
1 1 6 -0.34196 -0.34196 -0.27597 -0.21213 0.00000 -0.21106 0.12983 -0.12983
1 4 5 -0.46508 -0.46508 -0.46508 -0.46309 0.00000 0.00000 0.00199 -0.00199
-1 1 5 -0.39527 -0.39527 -0.32307 -0.30465 0.00000 -0.27776 0.09062 -0.09062
-2 3 4 0.71858 0.71858 0.67205 0.79074 0.00000 0.70813 0.07216 -0.07216
-1 2 12 0.09422 0.09422 0.62578 0.05927 0.00000 0.60831 -0.03495 0.03495
