label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB+0_1_03 0 1 3    -0.00536818 0.0055386  0.341794 0.0754926   -0.439462 0.0635838    -0.0753643 0.0346922  -0.663154 0.320984  -0.0121304 0.0427076  -0.298703 0.0259918  -0.451592 0.0471058    0.791189 0.0129364  -0.110482 0.0920494    -0.0749309 0.0346967  -0.2616 0.321486  -0.676573 0.321395  0.00982684 0.0505052    -0.29127 0.0260458  0.769338 0.330484  -0.46035 0.0471443    -0.320251 0.0380698  0.330014 0.316015  0.818519 0.333818  -0.461054 0.0471487
MB+0_1_04 0 1 4    0.000642806 0.00719087  -0.0424236 0.0853408   0.219717 0.100014    -0.536432 0.046176  1.86554 0.36277  -0.392592 0.0554323  -1.79834 0.0415203  -0.172875 0.0832473    1.68503 0.0166545  -0.380819 0.119467    -0.535862 0.0462729  0.0959614 0.551282  1.87242 0.364743  -0.377492 0.10313    -1.79873 0.0415206  1.23033 0.470082  -0.183338 0.0836088    -1.81787 0.0558773  0.211666 0.413524  1.26514 0.474982  -0.181771 0.0836649
MB+0_1_05 0 1 5    -0.00923229 0.00496937  -0.313607 0.0704336   0.149209 0.0585965    -1.20564 0.0321334  1.17434 0.299471  -0.261351 0.0382778  -0.136598 0.0244373  -0.112142 0.0443662    -0.16055 0.0121412  -0.430414 0.0825582    -1.2055 0.0321132  0.554658 0.289663  1.16888 0.299683  -0.211671 0.0462444    -0.135122 0.0244365  -0.248157 0.294726  -0.108218 0.0443687    -0.115252 0.0361583  -0.204363 0.27416  -0.245372 0.29475  -0.108432 0.0443696
MB+0_1_06 0 1 6    -0.0128602 0.00490067  0.283118 0.0697156   0.290592 0.0579094    2.42298 0.0315727  -2.58153 0.296419  -0.457731 0.0378533  0.0848806 0.0243059  -0.167139 0.043825    -1.37708 0.0120062  -0.693738 0.0815816    2.42295 0.0315729  -0.051639 0.286456  -2.58192 0.296429  -0.453496 0.0445495    0.0852575 0.0242992  -0.35624 0.290584  -0.174275 0.0438226    0.137608 0.0359798  -0.538321 0.272862  -0.358729 0.290582  -0.172268 0.0438336
MB+0_1_07 0 1 7    -9.74245e-05 0.00534451  0.317503 0.0734627   0.0627226 0.062318    1.52637 0.034033  0.662117 0.312351  0.0794754 0.0413603  -0.507271 0.0256671  0.142198 0.0466139    2.01319 0.0126464  0.0776849 0.0890922    1.52631 0.034033  -0.203493 0.312811  0.659779 0.312371  0.0982325 0.0503973    -0.506816 0.0256662  1.66487 0.320468  0.137069 0.0466403    -0.495865 0.0377288  -0.120636 0.304025  1.66369 0.320481  0.137382 0.0466469
MB+0_1_08 0 1 8    -0.00717857 0.00581697  -0.114904 0.128439   0.332739 0.0828488    -0.405157 0.0350619  1.21669 0.546357  -0.319536 0.0448007  0.372249 0.0361902  0.0132025 0.0696909    0.727811 0.0144806  -0.451525 0.0971182    -0.405055 0.0350619  0.250616 0.439426  1.21953 0.546377  -0.316507 0.0451154    0.372428 0.03619  0.715743 0.370365  0.0131136 0.06969    0.460261 0.0480913  -0.906875 0.327087  0.725442 0.37036  0.011537 0.0696889
MB+0_1_09 0 1 9    0.0017238 0.00519606  -0.140947 0.0787575   0.221894 0.061971    0.0517039 0.0340212  1.00181 0.334894  -0.225948 0.0400614  0.372754 0.0258548  -0.00405393 0.047281    0.402068 0.012806  -0.194252 0.0867377    0.0496289 0.0340489  0.456895 0.303883  0.982602 0.335134  -0.191361 0.0461861    0.370414 0.0258575  -0.359542 0.312727  0.016212 0.0475042    0.37231 0.0383671  -0.0195436 0.289934  -0.359927 0.312859  0.0161791 0.0475047
MB+0_1_10 0 1 10    -0.00168243 0.00554432  0.0609826 0.0850022   0.173463 0.0671843    -0.287892 0.036681  -0.447757 0.361443  0.0280692 0.0428905  -1.30096 0.0281582  0.201533 0.051712    -0.188337 0.0139375  -0.00299732 0.0929602    -0.287659 0.0366824  -0.233377 0.325662  -0.457919 0.361719  0.0460942 0.0497279    -1.29899 0.0282016  -0.0284143 0.335077  0.199913 0.0517277    -1.33286 0.0420398  0.334416 0.307762  -0.0156147 0.335282  0.200349 0.051729
MB+0_1_11 0 1 11    -0.00352699 0.00791985  -0.922409 0.37568   0.261264 0.150748    0.276625 0.0428568  4.86534 1.59852  -0.267312 0.0604972  -1.83343 0.0423007  -0.00604801 0.138076    0.94003 0.0198327  -0.332025 0.132122    0.276751 0.0428567  0.663174 0.814151  4.85531 1.59855  -0.311882 0.0815777    -1.83422 0.0422913  1.20437 0.839568  -0.0478823 0.138375    -1.74896 0.0602851  -0.876488 0.441622  1.16795 0.839724  -0.039099 0.138439
MB+0_1_12 0 1 12    -0.00107571 0.00523163  -0.10525 0.0738486   0.0644015 0.0611201    0.118394 0.0332566  -0.219581 0.313997  -0.323104 0.0404739  1.32246 0.0253918  -0.258703 0.0457988    -0.667497 0.012589  -0.342878 0.0872394    0.117644 0.0332597  -0.467938 0.30408  -0.226847 0.314028  -0.362158 0.0477717    1.32214 0.0253917  0.423729 0.308802  -0.256899 0.0458061    1.3645 0.0371432  -0.451647 0.289139  0.426702 0.308804  -0.25773 0.0458084
