wheel station sector hw_x hw_x1 hw_x2 hw_x3 hw_dx13
-1 4 5 6.48702 6.48448 6.48702 6.52569 -0.04121
0 2 2 6.38344 6.79163 1.57516 5.03299 1.75865
0 4 9 2.36767 2.06443 2.36767 2.79315 -0.72871
2 3 6 -5.79679 -5.91276 -4.17419 -5.62050 -0.29226
-1 2 8 2.21109 1.88300 -6.42792 2.44811 -0.56511
-2 3 5 4.63487 4.79491 -9.85168 4.10449 0.69042
-2 4 4 1.18027 1.29990 1.18027 0.92407 0.37582
-1 1 10 3.18317 3.23399 -2.06055 3.01373 0.22026
-1 3 5 5.24802 5.36143 -8.18573 5.04596 0.31547
-1 2 6 5.19567 5.34803 -3.50830 5.09510 0.25294
-1 3 7 7.44745 7.30640 -5.33539 7.68213 -0.37573
0 4 4 4.66660 4.60953 4.66660 4.70673 -0.09720
-2 4 6 5.60217 5.65578 5.60217 5.61267 0.04311
2 3 1 -0.01785 -0.01747 -7.61536 0.01171 -0.02918
0 1 9 -1.56268 -1.99878 0.10644 -1.10519 -0.89359
0 2 6 -7.86006 -8.10358 0.25891 -8.06227 -0.04131
0 4 13 4.32358 4.29276 4.32358 4.30695 -0.01419
-2 2 4 -2.59296 -2.72171 -12.50610 -2.57954 -0.14217
-1 3 9 4.32473 4.08925 -4.43268 4.55612 -0.46687
-2 1 2 -6.08330 -6.23715 -10.90210 -6.00143 -0.23572
-1 4 4 5.11246 5.02655 5.11246 5.20416 -0.17761
0 4 3 1.12041 1.42250 1.12041 0.81761 0.60490
2 3 7 -3.80552 -3.80579 -6.02478 -3.85763 0.05184
-1 2 2 -2.64095 -2.86607 -8.83759 -2.61483 -0.25124
-1 3 11 6.87780 7.01188 -5.06836 6.83203 0.17986
-2 2 1 -3.60817 -3.60769 -7.21130 -3.55759 -0.05011
2 4 9 -2.15419 -1.90780 -2.15419 -2.53207 0.62427
-2 4 2 -1.24317 -1.38346 -1.24317 -1.33012 -0.05333
2 3 9 -2.85153 -2.63448 -7.17896 -3.21124 0.57676
-1 1 11 7.59380 7.86865 -5.58197 7.33340 0.53524
0 4 1 2.07108 2.07138 2.07108 2.45544 -0.38406
-1 3 6 10.55868 10.66547 -6.68610 10.31324 0.35223
1 2 7 -3.17129 -3.17184 -0.73120 -3.39252 0.22068
-1 1 6 4.94616 5.13685 -7.19360 4.76162 0.37523
0 2 4 0.12043 -0.03225 -1.08038 0.01562 -0.04787
2 4 11 -8.06466 -8.29132 -8.06466 -7.86146 -0.42985
-2 4 12 1.24702 1.37441 1.24702 0.50336 0.87106
2 3 11 -6.23482 -6.44012 -6.29944 -6.02393 -0.41620
2 3 12 -4.11331 -4.29488 -6.89697 -3.86056 -0.43432
0 4 7 -4.73930 -4.73961 -4.73930 -4.50394 -0.23567
0 2 8 0.01875 -0.44604 -14.06588 0.51479 -0.96083
-1 4 11 8.44360 8.61121 8.44360 8.20637 0.40484
-1 1 4 -0.49797 -0.42408 -8.45795 -0.54749 0.12341
2 4 13 -0.54581 -0.54535 -0.54581 -0.56549 0.02014
-2 4 14 1.08093 1.06110 1.08093 1.04050 0.02060
-1 4 7 7.44080 7.44049 7.44080 7.63206 -0.19157
0 3 10 -5.65001 -5.57819 -0.18411 -5.88949 0.31130
0 3 5 7.80883 8.01606 -4.23825 7.39842 0.61764
0 4 5 7.77016 7.87422 7.77016 7.69608 0.17814
1 3 2 2.42454 2.63098 -2.11914 2.09724 0.53374
-2 2 6 6.01996 6.24483 -12.89978 5.52310 0.72173
-2 1 10 0.97069 1.00254 -9.84192 0.96214 0.04040
0 3 9 1.58337 1.27118 -0.88436 2.41123 -1.14004
-2 4 8 1.77991 1.60538 1.77991 2.08221 -0.47683
0 1 3 7.35363 7.57359 0.58975 7.09062 0.48296
0 3 8 0.11746 -0.17837 -0.59267 0.41665 -0.59502
-1 1 8 0.23120 -0.08713 -5.72662 0.55740 -0.64453
-2 3 7 4.91922 5.05962 -10.48950 4.81134 0.24828
-2 1 8 -2.47734 -2.72741 -21.74133 -2.18359 -0.54382
2 4 1 -1.91734 -1.95168 -1.91734 -1.76903 -0.18265
-2 4 10 2.92221 3.01712 2.92221 2.82013 0.19699
0 1 5 6.34343 6.68099 -2.18891 5.70741 0.97359
2 1 10 -5.84084 -5.68497 -8.92273 -5.95425 0.26928
1 1 2 3.54494 3.95346 -4.28925 3.05465 0.89881
1 1 9 -0.24415 -0.01808 -2.43805 -0.45042 0.43234
-1 4 10 5.49942 5.47501 5.49942 5.32059 0.15442
2 4 3 2.07497 2.20455 2.07497 1.89487 0.30968
2 2 10 -4.29914 -4.20828 -9.22668 -4.37122 0.16294
-1 4 6 6.81456 6.81992 6.81456 6.94520 -0.12527
0 3 12 6.76778 7.06265 1.84106 6.32012 0.74253
1 2 1 -2.16812 -2.00150 -7.56226 -2.89038 0.88888
1 3 12 -7.05354 -7.20016 -3.90991 -6.96078 -0.23939
1 1 11 -7.56456 -7.79819 -4.58984 -7.34204 -0.45615
-1 2 5 3.81298 3.84938 -5.04913 3.50396 0.34542
-2 1 12 2.23692 2.56868 -10.03906 1.94463 0.62404
2 4 5 -3.68815 -3.75125 -3.68815 -3.57346 -0.17779
2 2 8 0.25336 0.66318 -6.30554 -0.06306 0.72623
0 3 2 3.99678 4.22390 2.34103 3.72197 0.50193
-1 1 9 -0.04054 -0.35230 -4.19189 0.18181 -0.53410
-2 3 8 1.70483 1.49484 -10.20569 1.80443 -0.30959
1 4 14 -7.20032 -7.01859 -7.20032 -7.52899 0.51041
-2 2 7 3.49371 3.65946 -13.01880 3.11922 0.54024
2 4 7 -5.08240 -5.08278 -5.08240 -5.08148 -0.00130
2 1 4 -0.41241 -0.34378 -5.39673 -0.44441 0.10063
1 3 8 -0.76872 -0.49883 -3.07159 -1.21589 0.71706
1 4 12 -8.55685 -8.58606 -8.55685 -8.42192 -0.16413
2 2 12 -3.69987 -3.91901 -13.19641 -3.37495 -0.54406
-1 4 1 3.39851 3.39882 3.39851 3.62206 -0.22324
0 3 6 -7.79795 -8.04133 -10.43298 -7.57719 -0.46414
1 2 2 3.57435 3.90149 -2.34039 3.03163 0.86986
2 3 2 4.59626 4.78255 -5.43152 4.35670 0.42585
1 1 1 -1.44672 -1.44630 -3.71582 -1.37955 -0.06676
-1 2 4 -0.76387 -0.90742 -7.60040 -0.69672 -0.21070
1 4 10 -8.58643 -8.68927 -8.58643 -8.43277 -0.25650
2 2 2 4.99518 5.27580 -6.00342 4.85617 0.41963
0 2 9 0.00841 -0.40479 -13.11548 0.18902 -0.59380
0 3 4 1.51930 1.41798 -3.96830 1.74692 -0.32894
-2 3 9 1.98574 1.82584 -5.04578 2.21236 -0.38652
1 1 3 4.53877 4.74313 -0.28625 4.43795 0.30518
1 4 8 -4.67307 -4.49349 -4.67307 -4.13740 -0.35610
-1 1 2 -3.74154 -3.91318 -6.76666 -3.49585 -0.41733
0 2 11 -4.43862 -4.81351 -1.32381 -4.03849 -0.77502
0 4 12 6.88576 7.07178 6.88576 6.63456 0.43722
2 3 3 6.47835 6.65965 -6.22742 6.30518 0.35447
1 1 5 -4.44711 -4.63995 -3.44574 -4.23195 -0.40801
2 1 1 -1.60583 -1.60545 -3.74756 -1.61789 0.01244
1 4 6 -6.79293 -6.86789 -6.79293 -6.60167 -0.26622
2 2 6 -4.11888 -4.19582 -5.36194 -4.03500 -0.16082

