wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
-2 3 4 0.71858 0.74319 0.67205 0.75698 0.02461 -0.04653 0.03839 -0.01378
-1 2 12 0.09422 0.08816 0.62578 0.06538 -0.00606 0.53156 -0.02884 0.02278
-2 3 1 0.26118 0.24730 0.03579 0.15036 -0.01388 -0.22539 -0.11082 0.09695
1 4 3 -1.22786 -1.20123 -1.22786 -1.16850 0.02663 0.00000 0.05936 -0.03273
2 4 12 -0.32194 -0.30156 -0.32194 -0.27676 0.02038 0.00000 0.04518 -0.02480
0 4 11 -0.34429 -0.33280 -0.34429 -0.31968 0.01149 0.00000 0.02460 -0.01311
-1 2 10 0.60657 0.50811 0.33248 0.67676 -0.09847 -0.27409 0.07019 -0.16866
-1 3 3 0.42118 0.41785 0.35596 0.36946 -0.00334 -0.06522 -0.05172 0.04839
-2 2 8 0.23395 0.17055 0.09813 0.15221 -0.06340 -0.13581 -0.08174 0.01834
1 4 1 0.02361 0.01124 0.02361 0.05378 -0.01237 0.00000 0.03017 -0.04254
-1 4 5 -0.23518 -0.22034 -0.23518 -0.22793 0.01484 0.00000 0.00725 0.00759
0 2 2 0.70253 0.76183 0.37475 0.41524 0.05930 -0.32777 -0.28729 0.34659
0 4 9 -0.33167 -0.34289 -0.33167 -0.29287 -0.01122 0.00000 0.03880 -0.05002
2 3 6 -1.01400 -0.98310 -1.05404 -1.00402 0.03090 -0.04004 0.00998 0.02092
-1 2 8 -0.33930 -0.31801 0.12128 -0.30863 0.02128 0.46057 0.03067 -0.00939
-2 3 5 0.26403 0.27779 0.03216 0.19775 0.01376 -0.23187 -0.06628 0.08004
-2 4 4 0.43184 0.45212 0.43184 0.50301 0.02028 0.00000 0.07117 -0.05089
-1 1 10 -0.20492 -0.18915 -0.14442 -0.10132 0.01577 0.06051 0.10361 -0.08783
-1 3 5 0.11707 0.15124 0.15202 0.12539 0.03417 0.03495 0.00832 0.02585
-1 2 6 0.19145 0.22639 -0.15906 0.17458 0.03493 -0.35052 -0.01687 0.05180
-1 3 7 -0.17196 -0.15919 -0.34713 -0.18304 0.01276 -0.17517 -0.01109 0.02385
0 4 4 -0.57933 -0.52873 -0.57933 -0.61025 0.05060 0.00000 -0.03092 0.08152
-2 4 6 -0.00021 -0.00989 -0.00021 0.06497 -0.00968 0.00000 0.06519 -0.07487
2 3 1 0.25226 0.25184 0.70366 0.34263 -0.00042 0.45141 0.09037 -0.09079
0 1 9 -0.14465 -0.15283 -0.12276 -0.18313 -0.00818 0.02189 -0.03848 0.03030
0 2 6 0.27285 0.18456 -0.21029 0.14479 -0.08829 -0.48313 -0.12805 0.03977
