ch_phix ch_phiy ch_phiz ch_x ch_y ch_z sector sl1_phix sl1_phiy sl1_phiz sl1_x sl1_y sl1_z sl2_phix sl2_phiy sl2_phiz sl2_x sl2_y sl2_z sl3_phix sl3_phiy sl3_phiz sl3_x sl3_y sl3_z station wheel
-0.43168 2.19226 0.60213 2.41598 9.08569 -6.23783 12 -0.43168 1.82122 0.60229 2.63387 9.11987 -6.20506 -2.26867 -0.35221 0.44815 -9.01123 1.98321 -7.30099 -0.39519 3.00833 0.57686 2.05555 8.98865 -7.44459 3 -2 
-0.03604 0.00358 0.25248 0.52963 10.53833 -8.80737 1 -0.03604 -4.12864 0.25263 0.53001 10.55237 -8.80737 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.02806 -3.89682 0.31728 0.39001 10.47485 -10.60364 4 -2 
0.25045 -1.40545 -0.71441 -1.24317 10.40405 -5.22208 2 0.25046 -7.10861 -0.71584 -1.38346 10.34912 -5.16294 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.24868 -9.48162 -0.71448 -1.33012 10.73181 -6.82105 4 -2 
-0.12552 -1.53399 -0.07270 -2.93008 10.00427 1.74620 3 -0.12552 1.06940 -0.07303 -3.08326 10.01404 1.81070 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.15886 0.49312 -0.06891 -2.70305 10.05798 -0.24127 4 -2 
0.05568 1.20267 0.43184 1.18027 7.84668 4.31519 4 0.05568 -0.45066 0.43175 1.29990 7.84119 4.31519 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.10190 -1.87014 0.53071 0.92407 7.66602 3.50830 4 -2 
-0.03248 -2.30140 1.76785 -0.93842 11.75049 5.22217 13 -0.03248 -2.72722 1.76786 -1.16745 11.75293 5.22156 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06328 -3.30439 1.91092 -0.87082 11.47461 4.47937 4 -2 
0.14735 0.67987 0.18462 3.31112 10.42236 5.47928 5 0.14735 2.18376 0.18484 3.37926 10.39978 5.50760 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.06920 1.79922 0.21036 3.24483 10.79224 3.59141 4 -2 
0.26070 0.53313 -0.00021 5.60217 11.09680 0.46888 6 0.26070 -3.01731 -0.00114 5.65578 11.07117 0.49138 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.04559 -4.32694 0.05138 5.61267 11.26831 -1.15026 4 -2 
-0.25285 -0.00294 0.06804 4.92401 13.42712 -2.30225 7 -0.25285 -1.93091 0.06853 4.92378 13.44971 -2.30286 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.35263 -2.72113 0.09989 5.01541 13.79822 -4.28467 4 -2 
-0.63454 -1.74699 -0.24243 1.77991 8.64746 -2.04955 8 -0.63454 2.41646 -0.24508 1.60538 8.72070 -2.12357 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.85148 2.80000 -0.22787 2.08221 8.69507 -4.02901 4 -2 
-0.21716 -1.77050 -1.18860 0.17541 8.81287 2.70400 9 -0.21716 -1.51871 -1.18866 -0.00099 8.83484 2.70435 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.10248 -1.93135 -1.15005 0.43714 8.76221 1.20453 4 -2 
-0.92158 0.95296 0.12881 2.92221 6.49719 2.22595 10 -0.92160 -5.22269 0.13450 3.01712 6.59119 2.20581 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.77377 -3.27264 0.08531 2.82013 6.25732 1.49536 4 -2 
-0.43141 -0.19813 1.00466 1.08093 7.69409 3.50281 14 -0.43141 0.38096 1.00441 1.06110 7.71606 3.49854 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.34940 -0.38777 0.84859 1.04050 7.63489 2.70752 4 -2 
0.05242 1.89903 0.02198 3.93554 8.92395 1.14456 11 0.05242 2.74092 0.02202 4.12420 8.91846 1.14417 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00033 2.91823 0.05780 3.63470 9.05762 -0.18645 4 -2 
-0.57693 1.28238 0.34202 1.24702 7.31506 -5.56872 12 -0.57693 2.01737 0.34160 1.37441 7.38708 -5.62274 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.82709 3.11914 0.44109 0.50336 7.51709 -7.52955 4 -2 
-0.07553 0.00343 0.45295 2.06432 6.43921 -6.86707 1 -0.07553 1.36470 0.45285 2.06470 6.44104 -6.86707 0.12501 -0.06909 0.48681 -6.49231 1.93577 -8.12866 -0.09009 0.36395 0.56510 2.05647 6.33209 -8.50159 1 -1 
0.18549 -1.46066 0.03153 -3.74154 6.74377 -2.82362 2 0.18549 -0.01025 0.03180 -3.91318 6.72150 -2.84716 1.48726 0.30443 0.15465 -6.76666 -3.58470 -4.34487 0.21152 1.79321 0.12687 -3.49585 6.77673 -5.36804 1 -1 
0.54658 -2.42296 0.59343 -3.28382 6.85577 3.19537 3 0.54658 -2.19035 0.59356 -3.56832 6.78192 3.15621 2.42943 0.69603 0.26671 -6.73340 -2.87399 1.54742 0.55341 -2.29454 0.16729 -2.64839 6.61987 1.29216 1 -1 
0.66831 0.62873 0.05785 -0.49797 8.41675 7.69684 4 0.66831 -0.16599 0.05732 -0.42408 8.33710 7.70691 -0.67206 0.60405 0.09167 -8.45795 -0.41782 4.86694 0.62253 0.96908 0.01212 -0.54749 8.50800 4.11316 1 -1 
-0.38733 1.33116 -0.39527 4.63133 6.70563 5.07156 5 -0.38733 3.60892 -0.39616 4.78764 6.75751 5.09267 -1.26374 -0.38265 -0.32307 -7.00439 4.40237 3.42103 -0.35231 2.71549 -0.30517 4.45811 6.69312 3.05584 1 -1 
-0.22204 1.62318 -0.47155 4.94616 7.21497 1.08387 6 -0.22204 2.11905 -0.47166 5.13685 7.24854 1.10974 -1.57545 -0.14252 -0.27771 -7.19360 4.97750 -0.92109 -0.14187 2.19904 -0.41949 4.76162 7.02118 -1.17858 1 -1 
-0.46359 1.41092 -0.86201 3.19275 9.16534 -2.55371 7 -0.46359 0.65902 -0.86166 3.35861 9.23340 -2.53143 -1.25517 -0.46491 -0.90410 -8.87543 2.87788 -3.70331 -0.41988 2.21010 -0.96995 2.99568 8.71124 -4.44336 1 -1 
-0.84854 -2.70980 0.05501 0.23120 6.01654 -1.16175 8 -0.84854 -1.56346 0.05403 -0.08713 6.11542 -1.20560 2.89433 -0.66588 0.12409 -5.72662 0.44540 -2.42679 -0.79745 -2.94224 0.15596 0.55740 5.84229 -2.99361 1 -1 
-0.68421 -2.65313 0.14150 -0.04054 3.95386 4.84164 9 -0.68421 -1.10815 0.14044 -0.35230 4.03198 4.79873 2.76124 -0.59587 0.13238 -4.19189 0.38321 3.60169 -0.55524 -0.94850 0.03302 0.18181 3.98773 3.13267 1 -1 
0.31183 0.43254 -0.20492 3.18317 1.88660 8.27118 10 0.31183 2.62772 -0.20424 3.23399 1.85333 8.27820 -0.40321 0.33485 -0.14442 -2.06055 3.28926 5.98175 0.34258 1.28283 -0.08500 3.01373 2.06970 5.59113 1 -1 
-0.00890 2.33911 0.12905 7.59380 5.67871 2.44180 11 -0.00890 4.52242 0.12903 7.86865 5.67780 2.47869 -2.32212 -0.02581 0.11337 -5.58197 7.39897 -0.02061 0.01839 3.87033 0.16672 7.33340 5.37750 -0.46376 1 -1 
-0.09409 2.01481 0.49449 6.35914 5.02228 -4.00600 12 -0.09409 2.51408 0.49444 6.59594 5.02563 -3.97394 -2.13927 -0.10602 0.58014 -5.15930 6.23105 -6.24325 -0.11812 3.59286 0.52965 5.98817 4.97070 -6.54522 1 -1 
-0.41425 0.00342 0.02778 0.69592 4.26147 -8.88733 1 -0.41425 -3.18128 0.02910 0.69633 4.31122 -8.88702 0.18713 -0.51284 0.62975 -4.80347 1.52735 -9.14856 -0.28719 -2.31552 -0.00528 0.44794 4.41895 -9.78149 2 -1 
0.07919 -1.91560 1.12216 -2.64095 9.86420 -4.88340 2 0.07919 -3.65446 1.12202 -2.86607 9.89288 -4.81861 1.94247 0.17726 1.12841 -8.83759 -2.45888 -5.51287 0.02720 -3.44267 1.05845 -2.61483 8.84216 -6.28195 2 -1 
-0.36130 -2.34204 -0.30321 -3.18940 7.36176 1.02103 3 -0.36131 -3.15014 -0.30291 -3.46461 7.39380 1.10036 2.44660 -0.30591 0.38205 -6.39465 -2.26992 0.31467 -0.29016 -4.40157 -0.53167 -2.91855 6.13617 -0.03586 2 -1 
-0.17912 -1.22168 0.13339 -0.76387 7.17224 5.44373 4 -0.17912 -3.23018 0.13375 -0.90742 7.19757 5.48523 1.65349 -0.29918 0.59036 -7.60040 0.20882 4.49951 -0.28557 -2.56886 0.11623 -0.69672 7.36633 3.79028 2 -1 
0.90771 0.31059 0.88221 3.81298 6.19934 4.54678 5 0.90771 -3.06317 0.87915 3.84938 6.12274 4.53598 -0.29156 0.79476 0.79417 -5.04913 3.97566 3.99511 0.92716 -3.99329 0.92049 3.50396 5.57281 3.96333 2 -1 
-0.23499 1.29709 0.19145 5.19567 5.21088 -0.24611 6 -0.23499 -2.04735 0.19224 5.34803 5.24506 -0.29029 -0.76901 -0.19381 -0.15906 -3.50830 5.26006 -0.50107 -0.15378 -2.06292 0.21029 5.09510 5.20477 -1.25844 2 -1 
-0.14600 -0.00441 -0.70521 5.52065 5.55298 -3.32581 7 -0.14600 -3.19050 -0.70475 5.52015 5.54596 -3.32581 0.15993 -0.20911 -0.10296 -5.62500 5.94299 -3.83667 -0.16943 -2.55189 -0.78747 5.37214 5.40527 -4.44153 2 -1 
-0.80392 -2.79115 -0.33930 2.21109 7.27539 -3.54242 8 -0.80394 -6.24300 -0.33652 1.88300 7.35840 -3.44814 3.14184 -0.84689 0.12128 -6.42792 2.52309 -4.80438 -0.69526 -6.89765 -0.28448 2.44811 6.23840 -5.24034 2 -1 
