label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-1_1_10 -1 1 10    -0.0304234 0.00597568  -0.102458 0.0874058   0.436279 0.0781543    0.383833 0.0382523  0.176866 0.360921  0.0928698 0.0479103  0.0847835 0.0336212  0.529148 0.061747    0.0860225 0.0589831  -0.4624 0.0979781    0.379055 0.0383277  0.717304 0.364533  0.113702 0.362322  0.154659 0.0572955    0.0846899 0.0336223  0.0324969 0.430282  0.442599 0.26526    0.0829022 0.0337523  0.0539568 0.0898852  0.0221147 0.430626  0.436068 0.265484
MB-1_1_11 -1 1 11    0.000449832 0.00600093  -0.0780134 0.0894153   0.135919 0.079136    0.320448 0.0384402  -0.489283 0.369484  -0.0903812 0.0482287  0.279459 0.0340614  0.0455378 0.0627415    -0.82637 0.0599813  -0.0821631 0.0984537    0.319701 0.0384759  0.162831 0.367198  -0.498978 0.370154  -0.0759616 0.0580995    0.279861 0.0340613  0.327726 0.435723  0.541095 0.271634    0.277521 0.0343603  0.0465568 0.0899272  0.317091 0.43621  0.534446 0.271943
MB-1_1_12 -1 1 12    0.00468998 0.00551364  -0.123518 0.0830915   -0.306182 0.0730027    0.351875 0.0361815  -0.68693 0.343579  -0.204579 0.0444977  1.04706 0.0319056  -0.51076 0.0578736    -1.26607 0.0548824  -0.11846 0.0909397    0.347102 0.0362275  0.855155 0.334324  -0.752931 0.344524  -0.132986 0.0525789    1.04685 0.0319063  -0.986591 0.397242  -0.690935 0.245701    1.04396 0.0320665  0.0756846 0.0836757  -1.01586 0.398556  -0.708871 0.246499
MB+0_1_01 0 1 1    -0.0624647 0.0071048  -0.0661561 0.088792   -0.173478 0.0763835    0.137627 0.0421488  -0.860047 0.377505  0.0318716 0.0550254  -0.0303349 0.0301256  -0.141607 0.0529777    -1.14594 0.0158534  -1.12245 0.119207    0.130593 0.0423969  -0.5869 0.393055  -0.961699 0.38338  -0.0146558 0.0632387    -0.030341 0.0301258  -0.755556 0.41339  -0.137217 0.0557113    -0.0942641 0.0427641  0.793474 0.376897  -0.802153 0.41397  -0.137855 0.0557105
MB+0_1_02 0 1 2    -0.0233546 0.00615073  0.502613 0.092622   -0.136667 0.0735024    0.395199 0.0416764  -1.19646 0.393835  -0.0510091 0.0476772  -0.306193 0.0311864  -0.187676 0.0559418    0.941971 0.0153997  -0.48593 0.104148    0.395146 0.041679  -0.015731 0.365208  -1.19658 0.393887  -0.0498293 0.0546076    -0.30727 0.0311804  0.807852 0.374638  -0.208828 0.0560694    -0.303626 0.046468  -0.0365951 0.347177  0.809961 0.375038  -0.208405 0.0562141
MB+0_1_03 0 1 3    -0.0251949 0.00553715  0.356285 0.0755886   -0.433146 0.0635839    -0.0942921 0.0347193  -0.72103 0.321393  -0.0291626 0.0427277  -0.286972 0.0259782  -0.462309 0.0470878    0.794609 0.0129383  -0.490811 0.0920219    -0.0936045 0.034724  -0.363036 0.321467  -0.739396 0.321807  0.00117028 0.0504502    -0.278097 0.0260321  0.974017 0.330199  -0.472403 0.047122    -0.322558 0.0380414  0.50572 0.315506  1.05022 0.333604  -0.473601 0.0471273
MB+0_1_04 0 1 4    0.00619613 0.00717988  -0.00305245 0.0853395   0.248176 0.100144    -0.554684 0.0461441  1.70272 0.362766  -0.366793 0.0553749  -1.81298 0.0415904  -0.118617 0.083441    1.68993 0.0166375  -0.253297 0.11929    -0.552697 0.0462373  0.362915 0.55116  1.7277 0.364693  -0.309613 0.103037    -1.8132 0.041591  1.28999 0.47093  -0.125319 0.0837858    -1.83329 0.0559913  0.22191 0.413979  1.32638 0.475755  -0.123561 0.083843
MB+0_1_05 0 1 5    -0.0535213 0.00497623  -0.312992 0.0704281   0.156833 0.0586565    -1.20081 0.0321241  1.16931 0.299448  -0.269464 0.0383112  -0.137782 0.0244541  -0.112631 0.0444166    -0.164829 0.0121468  -1.24944 0.0826693    -1.20064 0.0321234  0.66574 0.290226  1.16255 0.299454  -0.209881 0.0463236    -0.136472 0.0244537  -0.125733 0.295365  -0.10902 0.0444201    -0.118023 0.0361603  -0.190108 0.274538  -0.123301 0.295386  -0.109222 0.044421
MB+0_1_06 0 1 6    -0.0694714 0.0049016  0.331759 0.069687   0.289719 0.0578924    2.41732 0.0315582  -2.78734 0.296297  -0.448912 0.0378127  0.0848367 0.0243144  -0.159192 0.0438376    -1.37732 0.0120185  -1.72404 0.0816359    2.41727 0.0315582  -0.19584 0.286258  -2.7887 0.296303  -0.432809 0.0445395    0.0853124 0.0243062  -0.335834 0.290511  -0.166318 0.0438308    0.137719 0.0360053  -0.538318 0.272861  -0.337408 0.290507  -0.164506 0.0438395
MB+0_1_07 0 1 7    0.0103269 0.00534887  0.335774 0.0735657   0.0680812 0.0623105    1.53 0.0340652  0.57646 0.312789  0.0820093 0.041385  -0.509878 0.0256439  0.150091 0.046582    2.00576 0.0126633  0.271838 0.0891882    1.52995 0.0340652  -0.212356 0.313187  0.574042 0.312809  0.101609 0.0504591    -0.509392 0.0256429  1.62849 0.320138  0.14469 0.0466083    -0.511528 0.0377152  0.0233045 0.303865  1.62858 0.320154  0.14466 0.0466142
