label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-1_1_10 -1 1 10    -0.031549 0.00597315  -0.0916981 0.0873857   0.418091 0.0781124    0.381678 0.0382504  0.129571 0.360842  0.0907843 0.0478862  0.087103 0.0336063  0.508876 0.0617127    0.0972868 0.0589619  -0.485023 0.0979369    0.376728 0.0383253  0.743973 0.364125  0.0643333 0.362227  0.154822 0.057243    0.0870208 0.0336075  0.00562131 0.42975  0.434562 0.264944    0.0855939 0.0337383  0.0428159 0.089825  -0.00264794 0.430093  0.429374 0.265167
MB-1_1_11 -1 1 11    0.000441641 0.00600224  -0.0854372 0.0893695   0.148855 0.0791362    0.318943 0.0384392  -0.456543 0.36928  -0.0894316 0.0482452  0.278349 0.034059  0.0594235 0.062729    -0.825128 0.0599852  -0.0813633 0.0984704    0.318425 0.0384748  0.112463 0.367306  -0.463153 0.369943  -0.0794509 0.058135    0.278708 0.0340591  0.267907 0.435897  0.49874 0.271676    0.276177 0.0343563  0.0505155 0.0899671  0.256504 0.436371  0.491602 0.271978
MB-1_1_12 -1 1 12    0.00512884 0.00551433  -0.116741 0.0830708   -0.33436 0.0730087    0.350743 0.0361847  -0.720254 0.343485  -0.197156 0.0444966  1.04581 0.0319166  -0.531515 0.057882    -1.27557 0.0548941  -0.102978 0.0909548    0.345958 0.0362307  0.85706 0.334244  -0.786018 0.344419  -0.125422 0.0525712    1.04562 0.0319175  -0.961587 0.39732  -0.676666 0.245791    1.04274 0.0320787  0.0750626 0.0837124  -0.990647 0.398637  -0.694497 0.246593
MB+0_1_01 0 1 1    -0.0629178 0.00710149  -0.0585953 0.0887401   -0.18418 0.0763493    0.133283 0.0421155  -0.889786 0.377285  0.0310234 0.0550011  -0.0330477 0.0301121  -0.153157 0.0529538    -1.14354 0.0158397  -1.13172 0.119156    0.126315 0.0423617  -0.591248 0.393052  -0.990894 0.383118  -0.0158733 0.0632131    -0.0330532 0.0301123  -0.780385 0.413208  -0.148586 0.055658    -0.10295 0.0427398  0.868383 0.376972  -0.831399 0.413785  -0.149307 0.0556568
MB+0_1_02 0 1 2    -0.0238757 0.00614582  0.477797 0.0925737   -0.124974 0.0734653    0.412393 0.0416622  -1.09498 0.39363  -0.0582259 0.0476574  -0.306116 0.03117  -0.1832 0.05591    0.93785 0.0153875  -0.502849 0.104055    0.412232 0.0416649  -0.0974549 0.365014  -1.09656 0.393683  -0.0511054 0.0545736    -0.307162 0.0311647  0.800747 0.37435  -0.2031 0.0560372    -0.302952 0.04645  -0.0423038 0.347018  0.803203 0.374749  -0.202598 0.0561843
MB+0_1_03 0 1 3    -0.0247127 0.00553655  0.357795 0.0754879   -0.442647 0.0635558    -0.102571 0.0347037  -0.723384 0.320965  -0.0214547 0.0427158  -0.288109 0.0259716  -0.464101 0.0470606    0.798683 0.0129325  -0.474261 0.0920133    -0.101902 0.0347086  -0.351537 0.321366  -0.740976 0.321368  0.00798022 0.0504686    -0.279145 0.0260248  0.995408 0.330122  -0.474184 0.0470934    -0.320991 0.0380255  0.476304 0.315541  1.06735 0.333545  -0.475293 0.0470986
MB+0_1_04 0 1 4    0.00621141 0.00718056  -0.00337523 0.0853461   0.250563 0.100139    -0.551267 0.0461393  1.70158 0.362793  -0.370599 0.0553741  -1.81358 0.0415832  -0.120036 0.0834363    1.68741 0.0166393  -0.256821 0.119306    -0.549515 0.0462337  0.317302 0.551115  1.7236 0.364747  -0.320614 0.103024    -1.81379 0.0415838  1.29341 0.471026  -0.126717 0.083787    -1.83031 0.055979  0.182395 0.41393  1.32331 0.475837  -0.125259 0.0838438
MB+0_1_05 0 1 5    -0.0532345 0.00497696  -0.312054 0.0704363   0.156235 0.0586504    -1.20342 0.0321308  1.16617 0.299483  -0.267955 0.0383175  -0.136165 0.0244485  -0.11172 0.0444031    -0.163971 0.0121483  -1.2427 0.0826829    -1.20323 0.0321301  0.65554 0.290256  1.1597 0.299489  -0.209267 0.0463353    -0.134847 0.0244482  -0.113237 0.295263  -0.108288 0.0444062    -0.114776 0.03615  -0.206832 0.274463  -0.110532 0.295285  -0.108502 0.044407
MB+0_1_06 0 1 6    -0.0694214 0.00490486  0.324176 0.0696939   0.27575 0.0579067    2.42513 0.0315545  -2.75799 0.296326  -0.443228 0.0378317  0.0862268 0.0243117  -0.167478 0.04384    -1.38024 0.0120223  -1.71743 0.0816919    2.42508 0.0315545  -0.186209 0.28643  -2.75928 0.296332  -0.427916 0.0445642    0.0866628 0.0243039  -0.371501 0.290653  -0.174396 0.0438339    0.14477 0.0359946  -0.597331 0.272942  -0.37307 0.290648  -0.172438 0.043842
MB+0_1_07 0 1 7    0.0105897 0.00534596  0.30965 0.0735638   0.0703041 0.0623317    1.53588 0.0340606  0.688786 0.312781  0.0792107 0.041371  -0.504671 0.0256651  0.149515 0.0466227    2.00693 0.0126585  0.273862 0.0891319    1.53584 0.0340607  -0.163893 0.312963  0.686839 0.312803  0.0943285 0.050423    -0.504203 0.0256645  1.60067 0.320283  0.144778 0.0466503    -0.503862 0.037755  -0.00397917 0.304099  1.60061 0.320299  0.144788 0.0466565
MB+0_1_08 0 1 8    -0.0332544 0.00581012  -0.205493 0.128631   0.288386 0.0829188    -0.389839 0.0350264  1.60401 0.547173  -0.297538 0.0447436  0.367466 0.0362171  -0.00915204 0.0698108    0.729937 0.0144741  -0.90901 0.0970138    -0.389761 0.0350264  0.205983 0.439985  1.60574 0.547183  -0.295052 0.0450591    0.367646 0.0362163  0.87716 0.371036  -0.00963194 0.0698094    0.469917 0.0481331  -1.05493 0.327032  0.887022 0.371022  -0.0115233 0.0698071
MB+0_1_09 0 1 9    0.0163626 0.0051954  -0.126711 0.0788045   0.229945 0.0620102    0.0480694 0.0340186  0.939594 0.335094  -0.230777 0.0400782  0.373977 0.0258641  -0.00083214 0.0473181    0.400725 0.0128021  0.0700877 0.086716    0.0461897 0.0340457  0.418956 0.304049  0.922386 0.335323  -0.199127 0.0461803    0.371837 0.0258673  -0.296402 0.312985  0.0175761 0.0475425    0.379918 0.0383726  -0.0828314 0.289982  -0.298686 0.313111  0.0175878 0.0475428
MB+0_1_10 0 1 10    -0.00294894 0.00554202  0.0457625 0.0849695   0.158473 0.0671595    -0.292777 0.036696  -0.3792 0.361304  0.0391589 0.0428711  -1.29971 0.028166  0.197631 0.0516959    -0.184607 0.0139368  -0.0152984 0.0929312    -0.292627 0.0366974  -0.148887 0.325308  -0.385684 0.361581  0.0506815 0.0497182    -1.29806 0.0282095  -0.0286484 0.334765  0.196293 0.0517114    -1.34468 0.0420572  0.459952 0.307734  -0.0104684 0.334981  0.196933 0.0517125
MB+0_1_11 0 1 11    -0.015609 0.00792474  -0.953153 0.375633   0.224759 0.150674    0.286552 0.04292  4.99045 1.59832  -0.242879 0.0605508  -1.84736 0.0423231  -0.0181199 0.137972    0.933774 0.0198465  -0.529328 0.132227    0.286646 0.04292  0.59943 0.814094  4.98401 1.59833  -0.283191 0.0816396    -1.84856 0.0423115  0.914345 0.839246  -0.0641239 0.138255    -1.74681 0.060337  -1.04512 0.441802  0.868073 0.839412  -0.0544392 0.138306
